,Age,Activity,Arban
153,50.0,1.12,0.0
154,30.0,0.9,1.0
155,50.0,1.0,1.0
156,40.0,1.06,1.0
157,40.0,1.0,0.0
158,30.0,0.82,1.0
159,40.0,1.04,0.0
160,30.0,1.12,0.0
161,50.0,1.0,1.0
162,40.0,0.92,0.0
163,50.0,0.84,0.0
164,40.0,0.92,1.0
165,40.0,1.04,1.0
166,40.0,1.12,0.0
167,40.0,1.04,0.0
168,40.0,1.08,1.0
169,40.0,0.92,0.0
170,50.0,1.0,0.0
171,40.0,1.0,0.0
172,30.0,0.96,0.0
173,50.0,0.96,1.0
174,20.0,1.04,1.0
175,10.0,1.0,0.0
176,50.0,0.86,1.0
177,40.0,0.88,0.0
178,40.0,1.04,1.0
179,40.0,0.92,0.0
180,30.0,1.06,1.0
181,20.0,1.1,0.0
182,40.0,0.96,1.0
183,40.0,0.98,0.0
184,40.0,0.96,0.0
185,50.0,1.12,0.0
186,40.0,0.84,1.0
187,40.0,0.86,1.0
188,50.0,0.76,0.0
189,20.0,0.96,0.0
190,40.0,1.26,0.0
191,30.0,0.96,0.0
192,30.0,0.96,0.0
193,40.0,0.98,0.0
194,30.0,0.94,0.0
195,30.0,0.96,1.0
196,30.0,1.1,1.0
197,40.0,1.0,1.0
198,50.0,0.84,0.0
199,50.0,0.84,0.0
200,50.0,1.12,0.0
201,50.0,0.78,1.0
202,30.0,1.0,0.0
203,50.0,0.96,1.0
204,40.0,1.08,1.0
205,30.0,0.96,1.0
206,30.0,1.04,1.0
207,30.0,1.1,1.0
208,40.0,0.92,1.0
209,30.0,1.14,1.0
210,50.0,1.08,0.0
211,30.0,1.04,1.0
212,30.0,1.06,0.0
213,40.0,1.16,0.0
214,40.0,1.16,1.0
215,40.0,1.12,1.0
216,30.0,1.18,0.0
217,40.0,0.94,0.0
218,30.0,1.0,0.0
219,40.0,1.02,0.0
220,30.0,0.96,0.0
221,40.0,1.0,1.0
222,50.0,0.98,0.0
223,30.0,1.04,1.0
224,30.0,1.12,0.0
225,30.0,1.08,1.0
226,40.0,0.88,0.0
227,40.0,0.96,1.0
228,40.0,1.1,1.0
229,40.0,1.1,1.0
230,40.0,1.28,0.0
231,30.0,0.88,0.0
232,40.0,0.92,1.0
233,30.0,1.04,0.0
234,50.0,1.12,1.0
235,30.0,0.8,1.0
236,40.0,1.12,0.0
237,30.0,1.08,1.0
238,30.0,0.96,0.0
239,40.0,1.1,1.0
240,40.0,0.92,0.0
241,40.0,1.22,0.0
242,40.0,0.92,0.0
243,30.0,0.88,0.0
244,30.0,1.02,0.0
245,30.0,0.96,1.0
246,40.0,0.86,1.0
247,40.0,0.96,1.0
248,30.0,0.98,0.0
249,40.0,0.92,1.0
250,40.0,0.96,1.0
251,40.0,1.06,1.0
252,50.0,1.1,0.0
253,30.0,1.0,0.0
254,30.0,1.08,1.0
255,40.0,0.96,1.0
256,40.0,1.08,0.0
257,40.0,1.0,1.0
258,30.0,1.02,0.0
259,50.0,0.84,1.0
260,40.0,0.92,0.0
261,30.0,1.0,1.0
262,30.0,1.0,1.0
263,50.0,1.0,0.0
264,40.0,0.96,1.0
265,40.0,0.94,0.0
266,30.0,0.96,0.0
267,50.0,1.06,0.0
268,30.0,0.92,1.0
269,30.0,1.02,0.0
270,40.0,1.12,0.0
271,40.0,1.08,1.0
272,40.0,0.96,0.0
273,40.0,1.14,1.0
274,30.0,0.96,1.0
275,30.0,0.92,0.0
276,30.0,0.92,0.0
277,30.0,1.04,0.0
278,30.0,1.06,1.0
279,50.0,1.02,1.0
280,30.0,1.04,1.0
281,50.0,0.96,1.0
282,30.0,1.04,0.0
283,40.0,1.0,1.0
284,30.0,0.96,0.0
285,20.0,0.98,1.0
286,40.0,1.1,1.0
287,30.0,0.8,0.0
288,40.0,0.92,0.0
289,40.0,0.92,1.0
290,40.0,1.1,1.0
291,40.0,0.96,0.0
292,30.0,1.04,0.0
293,40.0,1.04,0.0
294,40.0,1.0,1.0
295,40.0,0.94,1.0
296,30.0,0.94,1.0
297,40.0,1.1,0.0
298,40.0,0.98,0.0
299,30.0,0.96,0.0
300,40.0,0.8,1.0
301,40.0,0.96,1.0
302,40.0,0.92,0.0
303,30.0,0.94,0.0
304,40.0,1.04,0.0
305,30.0,1.08,0.0
306,40.0,0.9,0.0
307,20.0,1.08,1.0
308,40.0,1.08,0.0
309,50.0,0.96,0.0
310,40.0,1.04,1.0
311,40.0,0.92,1.0
312,30.0,0.98,0.0
313,40.0,1.06,1.0
314,30.0,1.04,1.0
315,50.0,1.1,0.0
316,30.0,0.78,1.0
317,40.0,0.92,0.0
318,50.0,0.92,0.0
319,40.0,0.96,1.0
320,50.0,1.04,1.0
321,40.0,0.84,1.0
322,40.0,1.0,0.0
323,40.0,1.12,1.0
324,40.0,1.0,1.0
325,30.0,1.14,1.0
326,40.0,1.3,1.0
327,30.0,0.92,1.0
328,30.0,0.88,1.0
329,40.0,1.1,1.0
330,30.0,0.9,0.0
331,40.0,1.2,1.0
332,40.0,0.96,1.0
333,40.0,0.88,1.0
334,20.0,0.88,0.0
335,30.0,1.0,1.0
336,40.0,0.88,1.0
337,40.0,0.88,0.0
338,30.0,0.88,0.0
339,50.0,0.9,1.0
340,30.0,1.1,0.0
341,40.0,0.98,1.0
342,30.0,1.06,1.0
343,30.0,1.12,1.0
344,30.0,1.12,1.0
345,40.0,1.08,1.0
346,30.0,1.06,1.0
347,40.0,1.0,1.0
348,20.0,0.92,0.0
349,40.0,1.12,1.0
350,40.0,1.0,1.0
351,30.0,1.18,0.0
352,40.0,0.92,1.0
353,50.0,1.14,1.0
354,50.0,1.04,1.0
355,40.0,1.16,0.0
356,40.0,1.16,0.0
357,30.0,1.02,1.0
358,30.0,1.04,0.0
359,40.0,0.82,0.0
360,30.0,1.06,0.0
361,30.0,1.06,0.0
362,40.0,0.98,0.0
363,40.0,1.02,0.0
364,30.0,0.96,1.0
365,30.0,1.24,1.0
366,40.0,0.92,0.0
367,50.0,1.0,1.0
368,40.0,0.96,0.0
369,30.0,0.8,0.0
370,30.0,1.2,1.0
371,30.0,1.02,1.0
372,40.0,1.04,1.0
373,40.0,1.04,1.0
374,40.0,0.92,1.0
375,60.0,0.92,1.0
376,30.0,0.96,0.0
377,40.0,0.86,1.0
378,30.0,1.22,1.0
379,40.0,1.02,0.0
380,30.0,1.14,1.0
381,30.0,1.1,0.0
382,50.0,1.02,0.0
383,40.0,1.0,0.0
384,40.0,0.92,1.0
385,20.0,1.16,1.0
386,30.0,0.96,0.0
387,30.0,0.96,0.0
388,50.0,1.0,1.0
389,30.0,1.1,1.0
390,30.0,0.96,1.0
391,40.0,1.16,0.0
392,30.0,0.94,1.0
393,50.0,0.96,0.0
394,30.0,1.06,0.0
395,50.0,1.06,0.0
396,50.0,0.9,0.0
397,20.0,0.84,0.0
398,40.0,0.92,1.0
399,30.0,1.04,1.0
400,40.0,0.96,1.0
401,30.0,1.02,0.0
402,30.0,0.92,0.0
403,40.0,1.08,0.0
404,50.0,1.1,1.0
405,40.0,0.96,0.0
406,40.0,0.92,0.0
407,40.0,1.2,1.0
408,30.0,1.26,0.0
409,20.0,1.12,1.0
410,50.0,0.84,1.0
411,60.0,0.96,1.0
412,40.0,0.96,1.0
413,30.0,0.96,0.0
414,30.0,0.88,0.0
415,40.0,1.04,0.0
416,40.0,1.0,1.0
417,40.0,0.98,0.0
418,40.0,1.02,1.0
419,40.0,0.88,1.0
420,30.0,0.98,1.0
421,40.0,1.06,0.0
422,30.0,1.02,0.0
423,40.0,1.0,0.0
424,20.0,1.04,1.0
425,30.0,1.0,0.0
426,30.0,1.0,1.0
427,50.0,0.88,0.0
428,40.0,1.08,1.0
429,40.0,1.1,0.0
430,40.0,0.92,0.0
431,30.0,0.96,0.0
432,30.0,0.86,0.0
433,40.0,0.82,0.0
434,30.0,1.02,0.0
435,30.0,1.02,0.0
436,30.0,1.12,1.0
437,40.0,1.1,1.0
438,20.0,1.12,1.0
439,40.0,1.1,0.0
440,40.0,1.08,0.0
441,50.0,0.98,0.0
442,30.0,0.88,0.0
443,40.0,1.0,1.0
444,40.0,0.94,1.0
445,40.0,0.88,0.0
446,50.0,0.96,1.0
447,40.0,1.18,0.0
448,40.0,0.92,1.0
449,40.0,0.98,1.0
450,50.0,1.04,1.0
451,40.0,1.04,1.0
452,50.0,0.86,1.0
453,40.0,1.0,1.0
454,40.0,1.1,1.0
455,30.0,1.04,1.0
456,40.0,0.94,0.0
457,30.0,1.04,0.0
458,20.0,1.08,0.0
459,50.0,1.02,1.0
460,30.0,1.0,1.0
461,30.0,1.0,0.0
462,50.0,1.0,1.0
463,40.0,1.14,0.0
464,40.0,1.08,0.0
465,40.0,0.98,0.0
466,40.0,1.06,1.0
467,50.0,1.04,1.0
468,40.0,1.0,1.0
469,30.0,1.1,0.0
470,50.0,1.12,0.0
471,50.0,0.76,0.0
472,30.0,0.92,1.0
473,50.0,1.04,0.0
474,40.0,1.02,0.0
475,40.0,1.0,0.0
476,40.0,0.88,1.0
477,40.0,0.96,0.0
478,20.0,1.04,1.0
479,40.0,0.88,1.0
480,40.0,0.92,1.0
481,40.0,0.96,0.0
482,40.0,1.1,0.0
483,40.0,1.0,1.0
484,40.0,1.06,1.0
485,40.0,0.84,0.0
486,40.0,1.06,1.0
487,40.0,0.88,0.0
488,40.0,1.0,0.0
489,40.0,1.16,0.0
490,30.0,1.02,1.0
491,30.0,1.12,1.0
492,40.0,1.12,0.0
493,30.0,0.92,0.0
494,20.0,0.92,0.0
495,40.0,0.9,0.0
496,40.0,1.12,0.0
497,40.0,0.96,1.0
498,30.0,1.1,0.0
499,40.0,1.0,0.0
500,50.0,1.12,1.0
501,40.0,1.0,0.0
502,20.0,1.04,0.0
503,40.0,1.24,1.0
504,40.0,1.0,1.0
505,50.0,0.78,1.0
506,40.0,0.88,1.0
507,40.0,1.06,1.0
508,40.0,0.88,0.0
509,30.0,0.94,1.0
510,40.0,0.92,0.0
511,30.0,0.92,1.0
512,30.0,0.98,1.0
513,50.0,1.04,0.0
514,30.0,1.0,1.0
515,40.0,1.0,1.0
516,40.0,0.96,0.0
517,40.0,0.96,0.0
518,50.0,1.1,0.0
519,40.0,0.98,0.0
520,40.0,1.14,0.0
521,50.0,1.12,1.0
522,40.0,0.68,1.0
523,50.0,0.8,1.0
524,50.0,0.88,1.0
525,30.0,1.2,0.0
526,40.0,1.24,1.0
527,40.0,0.94,0.0
528,40.0,1.1,0.0
529,40.0,0.9,1.0
530,30.0,0.92,0.0
531,40.0,1.04,1.0
532,30.0,1.14,0.0
533,50.0,0.84,1.0
534,30.0,0.8,0.0
535,30.0,1.12,1.0
536,50.0,1.08,1.0
537,30.0,1.12,1.0
538,40.0,0.92,1.0
539,40.0,1.08,1.0
540,40.0,0.84,0.0
541,40.0,1.04,0.0
542,40.0,0.9,1.0
543,40.0,0.98,1.0
544,40.0,0.88,1.0
545,40.0,1.04,0.0
546,30.0,1.06,1.0
547,40.0,0.94,1.0
548,40.0,0.96,1.0
549,50.0,1.14,1.0
550,30.0,1.12,1.0
551,30.0,1.0,1.0
552,40.0,0.96,1.0
553,40.0,1.08,0.0
554,30.0,1.1,0.0
555,30.0,0.9,1.0
556,40.0,0.94,1.0
557,40.0,1.04,0.0
558,40.0,0.96,1.0
559,30.0,1.1,1.0
560,40.0,1.24,1.0
561,30.0,0.88,1.0
562,40.0,1.0,0.0
563,40.0,0.96,0.0
564,30.0,1.06,0.0
565,30.0,1.02,1.0
566,40.0,1.12,0.0
567,40.0,1.04,0.0
568,30.0,1.08,0.0
569,20.0,0.92,0.0
570,30.0,1.04,0.0
571,40.0,0.96,0.0
572,40.0,0.96,0.0
573,40.0,0.96,1.0
574,40.0,0.88,0.0
575,30.0,1.12,0.0
576,40.0,0.92,0.0
577,40.0,1.0,1.0
578,40.0,1.04,1.0
579,40.0,0.92,1.0
580,30.0,1.02,0.0
581,40.0,0.94,0.0
582,30.0,1.0,0.0
583,40.0,0.9,0.0
584,40.0,0.88,0.0
585,30.0,1.12,0.0
586,40.0,0.92,0.0
587,30.0,0.92,1.0
588,30.0,0.9,0.0
589,40.0,1.08,1.0
590,30.0,0.96,0.0
591,50.0,0.92,0.0
592,20.0,1.06,1.0
593,40.0,1.16,1.0
594,40.0,0.92,0.0
595,20.0,1.04,1.0
596,30.0,0.92,0.0
597,40.0,0.88,1.0
598,40.0,1.0,0.0
599,30.0,1.16,1.0
600,40.0,1.0,1.0
601,30.0,1.08,0.0
602,50.0,1.0,0.0
603,40.0,1.28,1.0
604,30.0,1.06,1.0
605,40.0,0.84,0.0
606,40.0,0.96,1.0
607,30.0,1.04,1.0
608,30.0,1.0,1.0
609,30.0,0.86,1.0
610,50.0,1.14,1.0
611,40.0,1.0,1.0
612,20.0,1.04,1.0
613,50.0,1.12,1.0
614,40.0,1.0,0.0
615,30.0,1.06,1.0
616,30.0,0.98,1.0
617,40.0,0.86,0.0
618,20.0,1.08,1.0
619,50.0,0.96,0.0
620,40.0,1.14,1.0
621,30.0,0.84,0.0
622,40.0,1.0,1.0
623,40.0,0.86,1.0
624,30.0,1.06,0.0
625,30.0,0.98,1.0
626,40.0,0.98,0.0
627,30.0,1.08,1.0
628,30.0,0.96,1.0
629,30.0,1.1,0.0
630,40.0,1.0,1.0
631,30.0,0.94,0.0
632,40.0,1.1,0.0
633,40.0,1.0,0.0
634,40.0,1.1,0.0
635,40.0,0.88,1.0
636,40.0,0.84,0.0
637,30.0,1.1,0.0
638,30.0,1.04,1.0
639,30.0,1.04,1.0
640,40.0,0.92,1.0
641,40.0,1.12,1.0
642,40.0,0.94,0.0
643,40.0,0.96,0.0
644,30.0,0.8,0.0
645,50.0,1.0,1.0
646,50.0,1.12,0.0
647,40.0,0.92,1.0
648,30.0,0.86,0.0
649,30.0,1.14,1.0
650,50.0,0.86,1.0
651,30.0,0.96,1.0
652,40.0,1.16,1.0
653,40.0,1.08,1.0
654,30.0,1.0,0.0
655,30.0,1.04,1.0
656,40.0,1.02,0.0
657,40.0,1.06,0.0
658,30.0,0.88,0.0
659,40.0,1.12,1.0
660,30.0,1.0,1.0
661,40.0,1.04,0.0
662,40.0,1.02,1.0
663,30.0,1.08,0.0
664,30.0,1.04,0.0
665,30.0,1.2,0.0
666,40.0,1.1,0.0
667,50.0,0.84,1.0
668,40.0,1.14,1.0
669,40.0,1.04,0.0
670,40.0,1.06,1.0
671,30.0,0.92,0.0
672,30.0,1.0,0.0
673,40.0,1.1,1.0
674,50.0,0.96,0.0
675,30.0,0.8,1.0
676,30.0,0.94,1.0
677,40.0,1.22,0.0
678,30.0,0.96,0.0
679,30.0,1.04,0.0
680,20.0,0.8,0.0
681,40.0,0.92,1.0
682,40.0,1.0,0.0
683,40.0,0.88,1.0
684,40.0,1.0,1.0
685,40.0,1.04,0.0
686,40.0,0.96,1.0
687,30.0,0.96,1.0
688,40.0,0.86,0.0
689,40.0,1.0,1.0
690,20.0,0.96,1.0
691,30.0,0.88,0.0
692,40.0,1.12,0.0
693,40.0,1.08,1.0
694,20.0,0.92,1.0
695,30.0,1.06,1.0
696,30.0,1.2,1.0
697,40.0,0.9,0.0
698,40.0,1.0,0.0
699,50.0,0.78,0.0
700,40.0,0.92,1.0
701,50.0,0.92,1.0
702,50.0,0.9,1.0
703,40.0,1.04,0.0
704,40.0,1.12,1.0
705,40.0,1.0,1.0
706,30.0,0.98,1.0
707,40.0,1.04,0.0
708,30.0,0.9,1.0
709,40.0,0.96,0.0
710,50.0,1.12,1.0
711,40.0,1.12,0.0
712,30.0,0.92,0.0
713,40.0,1.0,1.0
714,30.0,1.02,0.0
715,50.0,0.88,1.0
716,30.0,0.92,0.0
717,40.0,0.88,0.0
718,40.0,1.12,1.0
719,50.0,1.0,1.0
720,40.0,1.1,1.0
721,40.0,0.96,1.0
722,30.0,1.0,1.0
723,40.0,0.98,0.0
724,50.0,1.08,0.0
725,40.0,1.14,0.0
726,40.0,1.0,1.0
727,30.0,0.84,0.0
728,30.0,1.04,1.0
729,20.0,0.88,0.0
730,40.0,1.0,0.0
731,30.0,0.88,0.0
732,40.0,0.88,1.0
733,30.0,0.92,1.0
734,50.0,0.88,1.0
735,40.0,0.9,1.0
736,50.0,1.04,1.0
737,20.0,1.04,1.0
738,20.0,0.98,1.0
739,30.0,1.1,1.0
740,40.0,1.04,1.0
741,40.0,1.14,0.0
742,40.0,0.94,1.0
743,40.0,1.04,0.0
744,30.0,0.76,0.0
745,40.0,1.0,0.0
746,50.0,1.0,0.0
747,40.0,1.12,0.0
748,50.0,1.08,1.0
749,20.0,1.12,0.0
750,30.0,0.88,0.0
751,30.0,1.0,1.0
752,40.0,1.12,1.0
753,50.0,1.04,1.0
754,40.0,0.96,1.0
755,30.0,1.2,0.0
756,30.0,1.04,1.0
757,30.0,1.08,0.0
758,40.0,1.04,1.0
759,40.0,1.16,1.0
760,30.0,1.04,1.0
761,50.0,1.12,0.0
762,40.0,1.2,0.0
763,40.0,0.96,1.0
764,40.0,1.06,0.0
765,30.0,0.96,0.0
766,40.0,0.92,0.0
767,40.0,0.88,0.0
768,30.0,0.92,0.0
769,40.0,0.96,0.0
770,40.0,1.0,0.0
771,30.0,1.14,1.0
772,30.0,0.9,1.0
773,30.0,1.04,0.0
774,30.0,0.96,0.0
775,40.0,1.0,0.0
776,50.0,0.76,0.0
777,40.0,0.92,1.0
778,30.0,1.16,0.0
779,30.0,1.04,0.0
780,30.0,0.92,0.0
781,30.0,1.2,0.0
782,30.0,1.2,0.0
783,40.0,0.96,1.0
784,20.0,1.12,0.0
785,30.0,0.98,0.0
786,30.0,0.96,0.0
787,30.0,1.18,0.0
788,40.0,0.88,1.0
789,40.0,0.96,1.0
790,20.0,1.12,0.0
791,40.0,0.92,0.0
792,30.0,0.96,0.0
793,50.0,0.84,1.0
794,30.0,0.94,0.0
795,20.0,0.92,1.0
796,40.0,1.28,0.0
797,30.0,0.88,0.0
798,50.0,1.12,1.0
799,20.0,1.06,0.0
800,50.0,1.02,0.0
801,30.0,1.04,1.0
802,30.0,0.96,1.0
803,30.0,1.1,1.0
804,40.0,0.94,1.0
805,40.0,1.1,1.0
806,40.0,0.94,0.0
807,40.0,1.1,1.0
808,40.0,1.04,0.0
809,40.0,1.24,0.0
810,40.0,1.04,1.0
811,30.0,0.88,0.0
812,30.0,1.1,1.0
813,40.0,0.92,1.0
814,30.0,0.96,1.0
815,50.0,0.92,0.0
816,40.0,1.04,1.0
817,30.0,1.04,0.0
818,40.0,1.04,1.0
819,40.0,1.02,0.0
820,40.0,0.96,1.0
821,40.0,0.9,0.0
822,40.0,0.96,0.0
823,20.0,0.94,0.0
824,40.0,1.08,0.0
825,30.0,0.92,1.0
826,50.0,1.18,1.0
827,50.0,0.9,1.0
828,30.0,1.12,0.0
829,40.0,0.92,1.0
830,30.0,1.1,1.0
831,40.0,0.92,1.0
832,30.0,0.96,1.0
833,30.0,1.08,0.0
834,50.0,1.04,1.0
835,30.0,1.08,0.0
836,40.0,1.06,1.0
837,40.0,1.0,0.0
838,30.0,0.88,1.0
839,40.0,1.16,1.0
840,40.0,1.16,0.0
841,30.0,0.96,0.0
842,30.0,1.24,0.0
843,30.0,1.14,1.0
844,40.0,0.92,1.0
845,30.0,0.94,0.0
846,20.0,0.96,1.0
847,40.0,1.16,0.0
848,30.0,0.96,0.0
849,40.0,1.04,1.0
850,50.0,0.96,0.0
851,40.0,0.96,1.0
852,40.0,1.06,0.0
853,50.0,1.04,1.0
854,50.0,0.92,1.0
855,50.0,1.0,1.0
856,40.0,0.98,1.0
857,40.0,0.96,1.0
858,40.0,1.12,1.0
859,40.0,1.0,0.0
860,20.0,1.0,0.0
861,40.0,0.82,1.0
862,50.0,1.02,1.0
863,30.0,0.96,1.0
864,40.0,1.06,1.0
865,40.0,1.14,0.0
866,40.0,1.02,0.0
867,50.0,1.32,0.0
868,40.0,1.0,0.0
869,40.0,1.04,1.0
870,30.0,1.06,1.0
871,40.0,1.08,0.0
872,30.0,1.1,0.0
873,40.0,1.0,0.0
874,30.0,1.04,1.0
875,40.0,1.0,1.0
876,40.0,0.92,1.0
877,40.0,1.04,1.0
878,30.0,1.02,0.0
879,50.0,0.96,0.0
880,40.0,0.92,1.0
881,30.0,1.02,0.0
882,40.0,1.28,1.0
883,30.0,0.92,0.0
884,30.0,0.96,0.0
885,40.0,1.02,1.0
886,40.0,1.02,0.0
887,40.0,0.92,1.0
888,40.0,1.12,1.0
889,40.0,0.9,1.0
890,40.0,1.2,0.0
891,40.0,1.0,0.0
892,50.0,1.1,0.0
893,50.0,1.04,1.0
894,40.0,0.94,1.0
895,30.0,1.2,0.0
896,40.0,0.84,0.0
897,40.0,0.88,0.0
898,30.0,1.0,1.0
899,40.0,0.96,0.0
900,50.0,0.96,0.0
901,50.0,0.84,0.0
902,40.0,0.92,1.0
903,40.0,1.0,1.0
904,40.0,1.12,1.0
905,40.0,0.96,0.0
906,20.0,1.04,1.0
907,30.0,0.92,1.0
908,40.0,0.98,0.0
909,40.0,0.92,0.0
910,40.0,1.24,0.0
911,40.0,1.02,1.0
912,40.0,0.88,0.0
913,40.0,0.92,0.0
914,30.0,0.88,1.0
915,30.0,0.96,0.0
916,50.0,1.16,1.0
917,40.0,1.12,0.0
918,40.0,1.12,0.0
919,30.0,0.88,0.0
920,30.0,0.96,1.0
921,30.0,0.94,1.0
922,30.0,0.9,1.0
923,40.0,0.84,1.0
924,40.0,0.98,0.0
925,40.0,0.92,1.0
926,30.0,0.82,0.0
927,40.0,1.04,0.0
928,40.0,1.14,1.0
929,40.0,0.84,1.0
930,40.0,1.0,1.0
931,30.0,0.9,0.0
932,30.0,0.82,0.0
933,40.0,0.96,0.0
934,40.0,1.04,1.0
935,40.0,0.92,0.0
936,30.0,1.04,0.0
937,30.0,1.0,1.0
938,30.0,1.06,0.0
939,40.0,1.06,1.0
940,20.0,0.88,0.0
941,30.0,1.02,1.0
942,30.0,1.16,0.0
943,50.0,1.26,1.0
944,50.0,1.0,0.0
945,40.0,0.98,0.0
946,40.0,0.9,1.0
947,50.0,1.08,1.0
948,30.0,1.2,0.0
949,50.0,0.94,0.0
950,40.0,1.0,1.0
951,40.0,1.04,0.0
952,30.0,0.96,1.0
953,30.0,0.88,0.0
954,40.0,1.12,0.0
955,30.0,1.16,0.0
956,30.0,0.78,1.0
957,30.0,0.88,1.0
958,40.0,0.92,1.0
959,30.0,0.88,0.0
960,40.0,1.0,1.0
961,40.0,1.0,0.0
962,30.0,0.88,1.0
963,30.0,1.04,1.0
964,40.0,1.2,1.0
965,40.0,0.94,1.0
966,40.0,1.12,0.0
967,40.0,0.94,1.0
968,30.0,1.06,1.0
969,40.0,1.14,1.0
970,40.0,1.1,1.0
971,30.0,0.96,1.0
972,40.0,0.96,1.0
973,30.0,1.12,0.0
974,50.0,0.96,0.0
975,40.0,0.92,0.0
976,40.0,1.04,0.0
977,40.0,0.84,0.0
978,30.0,1.14,1.0
979,40.0,1.12,1.0
980,40.0,1.02,1.0
981,50.0,1.08,0.0
982,40.0,1.1,0.0
983,30.0,0.94,1.0
984,40.0,0.96,0.0
985,40.0,1.1,0.0
986,40.0,0.88,1.0
987,30.0,1.0,0.0
988,40.0,1.04,0.0
989,30.0,0.9,1.0
990,40.0,0.92,0.0
991,40.0,0.92,1.0
992,30.0,0.92,0.0
993,40.0,0.92,1.0
994,40.0,1.0,0.0
995,40.0,0.98,0.0
996,40.0,1.0,0.0
997,30.0,1.14,0.0
